standard_id,standard_text,chunk_count,avg_score,max_score,coverage_level
CCSS.MATH.1.G.A.1,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.",0,0,0,none
CCSS.MATH.1.G.A.2,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.",0,0,0,none
CCSS.MATH.1.G.A.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",0,0,0,none
CCSS.MATH.1.MD.A.1,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,0,0,0,none
CCSS.MATH.1.MD.A.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps.",0,0,0,none
CCSS.MATH.1.MD.B.3,Tell and write time in hours and half-hours using analog and digital clocks.,0,0,0,none
CCSS.MATH.1.MD.C.4,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",0,0,0,none
CCSS.MATH.1.NBT.A.1,"Count to 120 starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",0,0,0,none
CCSS.MATH.1.NBT.B.2,Understand that the two digits of a two-digit number represent amounts of tens and ones.,0,0,0,none
CCSS.MATH.1.NBT.B.3,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.",0,0,0,none
CCSS.MATH.1.NBT.C.4,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones, and sometimes it is necessary to compose a ten.",0,0,0,none
CCSS.MATH.1.NBT.C.5,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",0,0,0,none
CCSS.MATH.1.NBT.C.6,"Subtract multiples of 10 in the range of 10-90 from multiples of 10 in the range of 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",0,0,0,none
CCSS.MATH.1.OA.A.1,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",0,0,0,none
CCSS.MATH.1.OA.A.2,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",0,0,0,none
CCSS.MATH.1.OA.B.3,"Apply properties of operations as strategies to add and subtract. (Students need not use formal terms for these properties.) Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10, which equals 12. (Associative property of addition.)",0,0,0,none
CCSS.MATH.1.OA.B.4,"Understand subtraction as an unknown-addend problem. For example, subtract 10 – 8 by finding the number that makes 10 when added to 8.",0,0,0,none
CCSS.MATH.1.OA.C.5,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",0,0,0,none
CCSS.MATH.1.OA.C.6,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on, making ten (e.g. 8 + 6 = 8 + 2 + 4, which leads to 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1, which leads to 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1, which equals 13).",1,0.6863,0.6863,weak
CCSS.MATH.1.OA.D.7,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 – 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.",0,0,0,none
CCSS.MATH.1.OA.D.8,"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the question true in each of the equations 8 + ? = 11, 5 = ? - 3, 6 + 6 = ?.",0,0,0,none
CCSS.MATH.2.G.A.1,"Recognize and draw shapes having specific attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",2,0.67015,0.672,weak
CCSS.MATH.2.G.A.2,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,0,0,0,none
CCSS.MATH.2.G.A.3,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",0,0,0,none
CCSS.MATH.2.MD.A.1,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",0,0,0,none
CCSS.MATH.2.MD.A.2,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",0,0,0,none
